Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP
Fall - Institutionalization,,Fall resulted in institutionalization,,FLLINST,,,,,,436583.0
Fall - Surgery,,Fall resulted in surgery,,FLLSURG,,,,,,436583.0
Fall - Not Freezing,,Participant currently experiencing falls not related to freezing,,FLNFR1W,,,,,,436583.0
Freezing of Gait,HP:0031825,"Freezing of gait is defined as a brief, episodic absence or marked reduction of forward progression of the feet despite the intention to walk.",Freezing gait,FRZGT1W,NP3FRZGT,gaitlab_q11,HXFRZERL,,,40481965.0
Hip/Limb Fracture,NCIT:C27002,"A traumatic break in one or more of the bones in the hip, thigh, leg, or foot.",Lower Extremity Fracture,INJFRHIP,,,,,,4187096.0
Skull Fracture,NCIT:C50745,A traumatic or pathologic injury to the bones of the skull in which the continuity of the bones of the skull is broken.,"Skull Fracture, Fracture of Skull",INJFRSKL,,,,,,4324690.0
Upper Extremity Fracture,NCIT:C27782,"A traumatic break in one or more of the bones in the arm, forearm, or hand.","Upper Limb Fracture, Upper Extremity Fracture",INJFRUE,,,,,,4050747.0
Psychiatric,NCIT:C168404,"Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.","Psychiatric Finding, Psychiatric",,,question216_216,,,,4228492.0
Neurological Disorder (Other than AD),NCIT:C25262,Medical history pertaining to nerves or the nervous system.,"neurologic, Neurologic, Neurological",,,question210_210,,,,36308796.0
Cardiovascular,NCIT:C25292,Medical history pertaining to the heart or blood vessels.,"cardiovascular, Cardiovascular",,,question214_214,,,,4023995.0
Metabolic,NCIT:C28240,Medical history pertaining to the metabolic system,"Metabolic, metabolic",,,question212_212,,,,432455.0
Major Surgical Procedures,,Medical history pertaining to major surgical procedures,,,,question258_258,,,,3009350.0
Bradykinesia,NCIT:C116707,Slow movement.,Bradykinesia,FEATBRADY,DXBRADY,question806_806,DCBRADY,present_diag_bradykinesia,x_3_3_1_brady_clin,4161417.0
Postural Instability,,"Postural instability is the inability to maintain equilibrium under dynamic and static conditions such as preparation of movements, perturbations, and quiet stance.",,FEATPOSINS,DXPOSINS,,DCPOSINS,present_diag_posture,x_3_4_1_postural_clin,4167067.0
Rigidity,,A stiffness of the arms or legs beyond what would result from normal aging or arthritis.,,FEATRIGID,DXRIGID,question805_805,DCRIGID,present_diag_rigidity,x_3_2_1_rigidity_clin,46237197.0
Resting Tremor,NCIT:C182454,"A movement disorder characterized by involuntary and rhythmic shaking of a body part that is relaxed and not held against gravity, and where the tremor amplitude decreases with voluntary movements. Resting tremor is a common sign of Parkinson's disease.","Resting Tremor, Rest Tremor",FEATTREMOR,DXTREMOR,question807_807,DCRTREM,present_diag_tremor,x_3_1_1_tremor_clin,4096245.0
Arteriolosclerosis,NCIT:C35543,The thickening of the wall of the small arteries and arterioles. It is caused by deposition of hyaline material in the wall or concentric smooth muscle wall hypertrophy. It results in lumen narrowing and tissue ischemia.,Arteriolosclerosis,ARTERIOLOSCLEROSIS,,,,,,4075751.0
Braak Staging for LB,,Braak staging refers to two methods used to classify the degree of pathology in Parkinson's disease and Alzheimer's disease.,,BRAAK_FOR_LB,,,,,,
Cerebral Cortical Atrophy,HP:0002120,Atrophy of the cortex of the cerebrum.,"Cerebral cortex atrophy, Cortical atrophy, Decrease in size of the outer layer of the brain due to loss of brain cells",CAA,,,,,,
Chronic Traumatic Encephalopathy,NCIT:C35542,Encephalopathy resulting from trauma.,Traumatic Encephalopathy,CTE,,,,,,4047745.0
Glial Cytoplasmic Inclusions (GCI),GO:0097409,Non-membrane-bound cytoplasmic inclusions composed of 10-40 nm granule-coated fibrils. These inclusions have an abnormal accumulation of alpha-synuclein protein and are found in association with multiple system atrophy.,,GCI,,,,,,
Hippocampal Atrophy,HP:0410170,Partial or complete wasting (loss) of hippocampus tissue that was once present.,"Atrophy of the hippocampus, Degeneration of the hippocampus",HIPPOCAMPAL_ATROPHY,,,,,,
Prominent Action Tremor,,,,FEATACTTRM,,,,,,
Alien Limb Phenomenon,HP:0032506,Alien limb phenomenon refers to involuntary motor activity of a limb in conjunction with the feeling of estrangement from that limb.,,FEATALNLMB,,question837_837,,,,4266845.0
Disproportionate Anterocollis,,Forward flexion of the head and neck which is greater than expected relative to the flexed posture of the trunk and limbs.,,FEATANTCOL,,,,,,
Apathy,NCIT:C117197,An emotional state of indifference characterized by a lack of interest or concern.,"Apathy, Emotional Indifference",FEATAPATHY,,pspenroll_tab3_c1_1,,,,45617258.0
Bowel Dysfunction,MONDO:0004880,Any disease in which the causes of the disease is a perturbation of the lower digestive tract leading to its dysfunction.,,FEATBWLDYS,,,,,,4341223.0
Dysarthria,NCIT:C79549,"Slow and slurred speech resulting from inability to coordinate the muscles that are used in speech. Causes include brain damage, Parkinson disease, and developmental causes.",Dysarthria,FEATDYSART,,question262_262,,,,4196636.0
Dyskinesia,NCIT:C50539,Abnormality or impairment of voluntary movement.,"Dyskinesis, Dyskinesia, Dyscinesia",FEATDYSKIN,,,,,,4319906.0
Dysphagia,NCIT:C2980,"A symptom referring to difficulty in swallowing. It may be observed in patients with stroke, motor neuron disorders, cancer of the throat or mouth, head and neck injuries, Parkinson disease, and multiple sclerosis.","Difficulty Swallowing, dysphagia, Dysphagia, Dysphagia/ Odynophagia, Difficulty swallowing",FEATDYSPHG,,pspenroll_tab3_r3,,,,31317.0
Dystonia,NCIT:C34563,"A movement disorder characterized by sustained or intermittent muscle contractions, resulting in abnormal movements and/or postures.",Dystonia,FEATDYSTNA,,question825_825,,,,375800.0
Supranuclear Gaze Palsy,HP:0000605,"A supranuclear gaze palsy is an inability to look in a particular direction as a result of cerebral impairment. There is a loss of the voluntary aspect of eye movements, but, as the brainstem is still intact, all the reflex conjugate eye movements are normal.",Supranuclear gaze paralysis,FEATGZEPAL,,,SGPSVSAC,,,4221473.0
Inspiratory Stridor,HP:0005348,Inspiratory stridor is a high pitched sound upon inspiration that is generally related to laryngeal abnormalities.,,FEATINSPST,,,,,,4242420.0
Micrographia,HP:0031908,Abnormally small sized handwriting defined formally as an impairment of a fine motor skill manifesting mainly as a progressive or stable reduction in amplitude during a writing task.,,FEATMCRGRA,,,,,,37110756.0
Myoclonus,NCIT:C116924,"A rapid, involuntary jerk of a muscle or group of muscles.",Myoclonus,FEATMYCLNS,,question826_826,,,,441553.0
Seborrheic Dermatitis,NCIT:C111888,"A chronic, inflammatory skin disorder that affects the scalp, central face and skin folds; it is characterized by scaling and itching.","Cradle Cap, Seborrhea, Seborrheic Eczema, Seborrheic Dermatitis",FEATSBDERM,,,,,,137053.0
Sexual Dysfunction,NCIT:C3347,Disturbances in sexual desire or performance.,Sexual Dysfunction,FEATSEXDYS,,,,,,36308716.0
Shuffling Gait,HP:0002362,A type of gait (walking) characterized by by dragging one's feet along or without lifting the feet fully from the ground.,Shuffled walk,FEATSHGAIT,,,,,,4181184.0
Stooped Posture,HP:0025403,A habitual positioning of the body with the head and upper back bent forward.,,FEATSTPPOS,,,,,,
Broad-based Gait,HP:0002136,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.,"Wide based gait, Wide-based gait, Broad based gait, Wide based walk",FEATWDGAIT,,,,,,
Amyotrophy,,Asymmetric lower limb motor neuropathy also known as diabetic lumbosacral plexus neuropathy and Bruns-Garland syndrome.,,,,question828_828,,,,
Hallucination,NCIT:C37961,"A false sensory perception in the absence of an external stimulus, as distinct from an illusion which is a misperception of an external stimulus.","Hallucination, hallucination, Hallucinations",,,,HXHALERL,,,433031.0
Ashtma,NCIT:C28397,A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.,"Asthma, asthma",,,,,history_asthma,history_asthma,317009.0
Chronic Bronchitis,NCIT:C26722,"A type of chronic obstructive pulmonary disease characterized by chronic inflammation in the bronchial tree that results in edema, mucus production, obstruction, and reduced airflow to and from the lung alveoli. The most common cause is tobacco smoking. Signs and symptoms include coughing with excessive mucus production, and shortness of breath.",Chronic Bronchitis,,,,,history_bronch,history_bronch,255841.0
Emphysema,EFO:0000464,"A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing.","emphysema, pulmonary, Pulmonary Emphysema, EMPHYSEMA, PULMONARY, emphysema, pulmonary emphysema",,,,,history_emphysema,history_emphysema,4169883.0
Rheumatoid Arthritis,NCIT:C2884,"A chronic, systemic autoimmune disorder characterized by inflammation in the synovial membranes and articular surfaces. It manifests primarily as a symmetric, erosive polyarthritis that spares the axial skeleton and is typically associated with the presence in the serum of rheumatoid factor.","Rheumatoid Arthritis, rheumatoid arthritis, RA",,,,,history_arthritis,history_arthritis,80809.0
Gout,NCIT:C34650,"A condition characterized by painful swelling of the joints, which is caused by deposition of urate crystals.","Gout, gout",,,,,history_gout,,440674.0
Red Blood Cell Count,NCIT:C51946,The determination of the number of erythrocytes in a biospecimen.,"RBC, Erythrocytes, Erythrocyte Count, Red Blood Cells, Red Blood Cell Count, Red Cell Count",RBCRSLT,RBCRSLT,ibbl_kit_csf9,C_RBCRSLT,,,37393849.0
Glucose,NCIT:C2831,"A simple sugar monosaccharide having two isoforms, alpha and beta, with a chemical structure of C6H12O6 that acts as an energy source for both plants and animals by reacting with oxygen, generating carbon dioxide and water, and releasing energy.","Glucose, 6-(hydroxymethyl)oxane-2,3,4,5-tetrol, glucose, DEXTROSE, UNSPECIFIED FORM",TGLCRSLT,TGLCRSLT,,C_TGLCRSLT,,,37393576.0
Protein,NCIT:C17021,A group of complex organic macromolecules composed of one or more chains (linear polymers) of alpha-L-amino acids linked by peptide bonds and ranging in size from a few thousand to over 1 million Daltons. Proteins are fundamental genetically encoded components of living cells with specific structures and functions dictated by amino acid sequence.,"Protein, Proteins, Protein (NOS), protein",TOPRRSLT,TOPRRSLT,ibbl_kit_csf8,C_TOPRRSLT,,,37394434.0
Leukocytes,NCIT:C12529,"Blood cells that are devoid of hemoglobin, capable of ameboid motion and phagocytosis, and act as the principal components of the immune system.","white blood cell, Leukocyte, White Blood Cell, WBCs, Leukocytes, Reticuloendothelial System, White Blood Cells, LEUKOCYTE, WBC, White Cell, leukocyte, White Blood Corpuscle",WBCRSLT,WBCRSLT,ibbl_kit_csf10,,,,37394163.0
Neutrophils,NCIT:C51950,A test to determine the number of neutrophils in a sample of blood.,"Neutrophil Count, Neutrophils",,,ibbl_kit_csf11,,,,37393856.0
Lymphocytes,NCIT:C51949,The determination of the number of lymphocytes in a blood sample.,"Lymphocyte Count, Lymphocytes, LYM",,,ibbl_kit_csf12,,,,37393858.0
Monocytes,NCIT:C12547,"Large, phagocytic mononuclear leukocytes produced in the vertebrate bone marrow and released into the blood; contain a large, oval or somewhat indented nucleus surrounded by voluminous cytoplasm and numerous organelles.","Monocyte, Monocytes, MONOCYTE, monocyte",,,ibbl_kit_csf13,,,,37393859.0
Eosinophils,NCIT:C12532,"Granular leukocytes with a nucleus that usually has two lobes connected by a slender thread of chromatin, and cytoplasm containing coarse, round granules that are uniform in size and stainable by eosin.","Eosinophils, Eosinophil, Eosinophilic Leukocyte, eosinophil, Eosinocyte, Blood Eosinophil, Eosinophilic Granulocyte, Acidophilic Leukocyte",,,ibbl_kit_csf14,,,,37393857.0
Basophils,NCIT:C12531,A type of immune cell that has granules (small particles) with enzymes that are released during allergic reactions and asthma.,"Basophilic Leukocyte, Basophil, basophil, Basophilic Granulocyte, Basophils",,,ibbl_kit_csf15,,,,37398676.0
DaTSCAN - Radiopharmaceutical Compound,NCIT:C1446,An agent that contains a radioactive isotope and is used for diagnostic or therapeutic purposes.,"radiopharmaceutical, Radiochemical, Radiopharmaceutical Compound, Radiopharmaceutical, Radiopharmaceuticals, Radioactive Pharmaceutical, radioactive drug",DATSCAN_LIGAND,,,,,,
DaTSCAN - Left Caudate,,Dopamine transporter scan - Striatal binding ratio of the left caudate small brain region of interest referenced to the occipital lobe,,DATSCAN_CAUDATE_L,,question304_304,,,,
DaTSCAN - Right Caudate,,Dopamine transporter scan - Striatal binding ratio of the right caudate small brain region of interest referenced to the occipital lobe,,DATSCAN_CAUDATE_R,,question304_304,,,,
DaTSCAN - Left Putamen,,Dopamine transporter scan - Striatal binding ratio of the left putamen small brain region of interest referenced to the occipital lobe,,DATSCAN_PUTAMEN_L,,question304_304,,,,
DaTSCAN - Left Anterior Putamen,,Dopamine transporter scan - Striatal binding ratio of the left anterior putamen brain region of interest referenced to the occipital lobe,,DATSCAN_PUTAMEN_L_ANT,,,,,,
DaTSCAN - Right Putamen,,Dopamine transporter scan - Striatal binding ratio of the right putamen small brain region of interest referenced to the occipital lobe,,DATSCAN_PUTAMEN_R,,question304_304,,,,
DaTSCAN - Right Anterior Putamen,,Dopamine transporter scan - Striatal binding ratio of the right anterior putamen brain region of interest referenced to the occipital lobe,,DATSCAN_PUTAMEN_R_ANT,,,,,,
DaTSCAN - Left Striatum,,Dopamine transporter scan - Striatal binding ratio of the left striatum brain region of interest referenced to the occipital lobe,,,,question304_304,,,,
DaTSCAN - Right Striatum,,Dopamine transporter scan - Striatal binding ratio of the right striatum brain region of interest referenced to the occipital lobe,,,,question304_304,,,,
Participant ID,NCIT:C164337,An alphanumeric identifier assigned to a specific patient.,"patient id, Patient Identifier, patient_id, source id, source_id",PATNO,PATNO,cdisc_dm_usubjd,lrrkid,ID,subject_randid,42528934.0
Visit,NCIT:C25716,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,"Visit, Visits",EVENT_ID,EVENT_ID,,event_id,Visit,,
Biological Sex,NCIT:C28421,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,"Gender, SEX, Sex, sex",SEX,GENDER,cdisc_dm_sex,gender,gender,gender,4135376.0
Age,NCIT:C25150,How long something has existed; elapsed time since birth.,"AGE, Age, age, Aged, Chronological Age, Postnatal Age",AGE_AT_VISIT,,,ageonset,age,age,4265453.0
Month of Birth,NCIT:C83090,The month in which a person was born.,"Birth Month, BRTHMO",BIRTHDT,BIRTHDT,cdisc_dm_brthdtc,,dob,dob,4083587.0
Year of Birth,NCIT:C83164,The year in which a person was born.,"Birth Year, BRTHYR, BRTHYY",BIRTHDT,BIRTHDT,cdisc_dm_brthdtc,birthyr,dob,dob,4083587.0
Education,NCIT:C122393,The number of education years that a subject has competed.,"EDUYRNUM, Number of Years of Education",EDUCYRS,EDUCYRS,dm_years_education,educcat_calc,years_education_bin,,1015298.0
Race,NCIT:C17049,A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,"RACE, Race, race, Racial Group",,,,racetxt,,,4013886.0
White,NCIT:C41261,"A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)","Caucasians, Caucasian, Caucasoid, Occidental, White, white, WHITE, Whites",RAWHITE,RAWHITE,,,,,45877987.0
Asian,NCIT:C41260,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)","Asian Ancestry, ASIAN, asian, Asian, Asians",RAASIAN,RAASIAN,,,,,45879439.0
Black/African American,NCIT:C16352,"A person having origins in any of the Black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American"". (OMB)","BLACK OR AFRICAN AMERICAN, Black or African American, black or african american, BLACK_OR_AFRICAN_AMERICAN",RABLACK,RABLACK,,,,,46237778.0
Native Hawaiian or Other Pacific Islander,NCIT:C41219,"A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)","native hawaiian or other pacific islander, NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER, Native Hawaiian or Other Pacific Islander, NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER",RAHAWOPI,RAHAWOPI,,,,,45878240.0
American Indian/Alaskan Native,NCIT:C41259,A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB),"american indian or alaska native, AMERICAN INDIAN OR ALASKA NATIVE, American Indian or Alaska Native, AMERICAN_INDIAN_OR_ALASKA_NATIVE, First Nations, Native American, Native Americans",RAINDALS,RAINDALS,,,,,37079234.0
Ethnicity,NCIT:C16564,A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.,"ETHNIC, Ethnic Group, Ethnic Origin, Ethnic Origins, ETHNICITY, Ethnicity, ethnicity",HISPLAT,,,ethnctxt,ethnicity_all,,44803968.0
Marital Status,NCIT:C25188,A demographic parameter indicating a person's current conjugal status.,"MARISTAT, Marital or partnership status, Marital Status, MaritalStatus, MaritalStatusUB92",,,cdisc_sc_sctestcd_maritstat,,marital_status,,4053609.0
Handedness,NCIT:C114182,The preferred hand of use for controlled and efficient performance of motor tasks.,"Dominant Hand, HANDDOM",HANDED,HANDED,purdue_handedness,,handedness,,4211853.0
Height,NCIT:C25347,The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension.,"HEIGHT, Height",HTCM,HTCM,cert_height,,height,m_10_stand_height,37038872.0
Weight,NCIT:C25208,The vertical force exerted by a mass as a result of gravity.,"WEIGHT, Weight",WGTKG,WGTKG,cert_weight,,weight,m_12_weight,37111521.0
BMI,NCIT:C16358,An individual's weight in kilograms divided by the square of the height in meters.,"BMI, Body Mass Index, body mass index, Quetelet Index, Vital Signs – BMI",,,cert_bmi,,BMI,m_14_bmi,1027485.0
Waist,NCIT:C64192,The abdominal circumference at the navel.,"WAIST, Waist",,,status_waist,,,,4172830.0
Hip,NCIT:C64193,The lateral prominence of the pelvis from the waist to the thigh.,"Hip, HIP",,,status_hip,,,,4111665.0
Waist-Hip Ratio,NCIT:C17651,The ratio of the abdominal circumference at the navel to maximum hip and buttocks circumference; looks at the proportion of fat stored on the body around the waist and hip. Carrying extra weight around the waist is a greater health risk than carrying extra weight around the hips or thighs.,"Waist-Hip Ratio, Waist to Hip Ratio, WAISTHIP",,,status_waist_hip_ratio,,,,1036755.0
Profession,NCIT:C19160,A grouping of occupations and fields of study.,Occupation or Discipline,,,dm_longest_occupation,,,,4033543.0
Asexual,NCIT:C155696,Used to describe an individual who does not experience sexual attraction.,"Asexual, Asexuality",ASEXUAL,,,,,,1585360.0
Bisexuality,NCIT:C84364,"A sexual attraction to members of both sexes, genders, or gender identities.","Bisexuality, Bi, Bisexual",BISEXUAL,,,,,,4170582.0
Homosexuality,NCIT:C84363,A sexual attraction to members of the same sex.,"Homosexuality, Homosexual, Gay",GAYLES,,,,,,36303203.0
Pansexuality,NCIT:C180327,"Sexual, romantic, or emotional attraction towards people regardless of their sex or gender identity, including agender, non-binary, and gender fluid.","Pansexuality, Pansexual, Pan",PANSEXUAL,,,,,,
Heterosexuality,NCIT:C84362,A sexual attraction to members of the opposite sex.,"Heterosexuality, Straight, Hetero, Heterosexual",HETERO,,,,,,4069091.0
DTI - Left Rostral,,Diffusion tensor imaging - Left rostral,,ROI1,,,,,,
DTI - Right Rostral,,Diffusion tensor imaging - Right rostral,,ROI4,,,,,,
DTI - Left Middle,,Diffusion tensor imaging - Left middle,,ROI2,,,,,,
DTI - Right Middle,,Diffusion tensor imaging - Right middle,,ROI5,,,,,,
DTI - Left Caudal,,Diffusion tensor imaging - Left caudal,,ROI3,,,,,,
DTI - Right Caudal,,Diffusion tensor imaging - Right caudal,,ROI6,,,,,,
Mother Dementia,,,,,,rfqu_fh_dementia2,,mother_dement_and_alz,,4326002.0
Father Dementia,,,,,,rfqu_fh_dementia1,,father_dement_and_alz,,4326002.0
Mother AD,,,,,,rfqu_fh_dementia2,,mother_dement_and_alz,,4216175.0
Father AD,,,,,,rfqu_fh_dementia1,,father_dement_and_alz,,4216175.0
Sibling Dementia,,,,,,rfqu_fh_dementia3,,"brother_dement_and_alz, sister_dement_and_alz, hafsib_dement_and_alt",,4326002.0
Sibling AD,,,,,,rfqu_fh_dementia3,,"brother_dement_and_alz, sister_dement_and_alz, hafsib_dement_and_alt",,4216175.0
Mother Parkinsonism,,,,BIOMOMPD,,,,,,4169013.0
Father Parkinsonism,,,,BIODADPD,,,,,,4169013.0
Mother PD,,,,BIOMOMPD,BIOMOMPD,rfqu_fh_mother4,biomompd,mother_pd,sum_motherpd,4182334.0
Father PD,,,,BIODADPD,BIODADPD,rfqu_fh_father4,biodadpd,father_pd,sum_fatherpd,4182334.0
Sibling Parkinsonism,,,,"FULBROPD, FULSISPD",,,,,,4169013.0
Sibling 1 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother1_4, rfqu_fh_sister1_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 2 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother2_4, rfqu_fh_sister2_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 3 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother3_4, rfqu_fh_sister3_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 4 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother4_4, rfqu_fh_sister4_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 5 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother5_4, rfqu_fh_sister5_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 6 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother6_4, rfqu_fh_sister6_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 7 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother7_4, rfqu_fh_sister7_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Sibling 8 PD,,,,"FULSIBPD, HAFSIBPD","FULSIBPD, HAFSIBPD","rfqu_fh_brother8_4, rfqu_fh_sister8_4","fulsibpd, hafsibpd","brother_pd, sister_pd, hafsib_pd","sum_fullsibpd, sum_halfsibpd",4182334.0
Maternal Grandparents Parkinsonism,,,,MAGPARPD,MAGPARPD,,,,,4169013.0
Paternal Grandparents Parkinsonism,,,,PAGPARPD,PAGPARPD,,,,,4169013.0
Maternal Aunts and Uncles Parkinsonism,,,,MATAUPD,MATAUPD,,,,,4169013.0
Paternal Aunts and Uncles Parkinsonism,,,,PATAUPD,PATAUPD,,,,,4169013.0
Maternal Grandparents PD,,,,MAGPARPD,MAGPARPD,,magparpd,matgrand_pd,sum_matgrandpd,4182334.0
Paternal Grandparents PD,,,,PAGPARPD,PAGPARPD,,pagparpd,patgrand_pd,sum_patgrandpd,4182334.0
Maternal Aunts and Uncles PD,,,,MATAUPD,MATAUPD,,mataupd,matauun_pd,sum_mataupd,4182334.0
Paternal Aunts and Uncles PD,,,,PATAUPD,PATAUPD,,pataupd,patauun_pd,sum_pataupd,4182334.0
Relatives Parkinsonism,,,,DISFAMPD,,,,,,4169013.0
Relatives PD,,,,DISFAMPD,,rfqu_fh_parkinsons1,,,sum_fmhx_pd,4182334.0
Children Parkinsonism,,,,KIDSPD,,,,,,4169013.0
Children 1 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child1_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 2 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child2_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 3 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child3_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 4 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child4_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 5 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child5_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 6 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child6_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 7 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child7_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Children 8 PD,,,,KIDSPD,KIDSPD,rfqu_fh_child8_4,kidspd,"malechild_pd, femalechild_pd",sum_childrenpd,4182334.0
Father Tremor,,,,,,rfqu_fh_tremor1,,,,4334466.0
Mother Tremor,,,,,,rfqu_fh_tremor2,,,,4334466.0
Sibling Tremor,,,,,,rfqu_fh_tremor3,,,,4334466.0
Children Tremor,,,,,,rfqu_fh_tremor5,,,,4334466.0
R1441G - Family,,"PARK8.Shows a progressive reduction in neurite length and branching; shows an increase in activity in phosphorylation of RAB8A and RAB10; decreases phosphorylation-dependent binding to YWHAG; dbSNP:rs33939927, UniProtKB: Q5S007, VARIANT ID: VAR_024946",,,,,r1441gf,,,
R1441C - Family,,"PARK8. Shows an increase in activity in both autophosphorylation and  phosphorylation of a generic substrate; loss of interaction with SEC16A; shows an increase in activity in phosphorylation of RAB10; decreases phosphorylation-dependent binding to YWHAG; dbSNP:rs33939927, UniProtKB: Q5S007, VARIANT ID: VAR_024945",,,,,r1441cf,,,
N1437H - Family,,"Autosomal dominant Parkinson disease 8 (ClinVar), ClinGen: CA343577, ClinVar: RCV000032457, Ensembl: rs74163686, dbSNP: rs74163686",,,,,n1437hf,,,
G2385R - Family,,"PARK8. Under conditions of oxidative stress the variant protein is more toxic and is associated with a higher rate of apoptosis; reduced binding to synaptic vesicles; no loss of interaction with SEC16A; shows an increase in activity in phosphorylation of RAB8A and RAB10; shows decreased WD domain homodimerization; reduced autophosphorylation at Ser-935. UniProtKB: VAR_024964, ClinGen: CA343677, cosmic curated: COSM431072, ClinVar: RCV000032508, ClinVar: RCV001449818, 1000Genomes: rs34778348, ESP: rs34778348, ExAC: rs34778348, TOPMed: rs34778348, dbSNP: rs34778348, gnomAD: rs34778348",,,,,g2385rf,,,
R1628P - Family,PR:000049991,"A leucine-rich repeat serine/threonine-protein kinase 2 (human) that has a Pro residue at the position equivalent to Arg-1628 of the amino acid sequence represented by UniProtKB:Q5S007. UniProtKB:Q5S007, Arg-1628, CHEBI:50342.","hLRRK2/var:R1628P, UniProtKB:Q5S007, Arg-1628, CHEBI:50342",,,,r1628pf,,,
I2020T - Family,,"PARK8. Significant increase in autophosphorylation of about 40% in comparison to wild-type protein in vitro; shows a progressive reduction in neurite length and branching; shows an increase in activity in phosphorylation of RAB8A and RAB10. UniProt: VAR_024959, ClinGen: CA339928, ClinVar: RCV000002018, ClinVar: RCV001311806, Ensembl: rs35870237, dbSNP: rs35870237",,,,,i2020tf,,,
Q930R - Family,,"PARK8. Unknown pathological significance. UniProt: VAR_024936, ClinGen: CA343519, ClinVar: RCV000032428, Ensembl: rs281865045, dbSNP: rs281865045",,,,,q930rf,,,
